Timestamp,File Name,Technique,Critical,Major,Minor,WQS,Review Time (min),Comment Count
2026-04-18 22:51:48,test.py,Peer Review,1,0,0,5,,
2026-04-18 22:52:09,test.py,Pull-based Review,1,0,0,5,,
2026-04-18 22:52:21,test.py,Tool-assisted Review,1,0,0,5,,
2026-04-18 23:01:55,pasted_code.py,Peer Review,0,0,5,5,,
2026-04-18 23:22:12,pasted_code.py,Peer Review,0,0,5,5,,
2026-04-18 23:24:10,pasted_code.py,Peer Review,1,0,6,11,,
2026-04-18 23:56:30,pasted_code.py,Peer Review,0,0,0,0,0.0,0.0
2026-04-18 23:59:42,pasted_code.py,Peer Review,0,0,0,0,0.0,0.0
2026-04-19 00:14:04,pasted_code.py,Peer Review,0,1,3,6,0.0,0.0
2026-04-19 00:19:05,pasted_code.py,Tool-assisted Review,0,19,90,147,0.0,0.0
2026-04-19 00:31:22,pasted_code.py,Tool-assisted Review,0,19,90,147,0.0,0.0
2026-04-19 00:40:08,pasted_code.py,Tool-assisted Review,0,19,90,147,0.0,0.0
2026-04-19 13:51:13,pasted_code.py,Tool-assisted Review,0,19,90,147,0.0,0.0
2026-04-19 14:20:17,pasted_code.py,Tool-assisted Review,0,19,90,147,0.0,0.0
2026-04-19 15:01:55,pasted_code.py,Pull-based Review,0,19,90,147,0.0,0.0
